zcr,label
0.03364238959942085,cel
0.035052560931467185,cel
0.04134365950772201,cel
0.04209964708011583,cel
0.04683352437258687,cel
0.05616177002895753,cel
0.0421222701496139,cel
0.03148565697393822,cel
0.034307884893822395,cel
0.037403474903474905,cel
0.024900458494208494,cel
0.03821979066119691,cel
0.06544854005791506,cel
0.06526001447876448,cel
0.0495765715492278,cel
0.025639478764478765,cel
0.038807990468146716,cel
0.026229563827220078,cel
0.03120475386100386,cel
0.030226306105212354,cel
0.02937228523166023,cel
0.04603040540540541,cel
0.031242458976833976,cel
0.034624607866795366,cel
0.0433608832046332,cel
0.05334331262065637,cel
0.018929853402509654,cel
0.04390006636100386,cel
0.03138573841698842,cel
0.028518264358108107,cel
0.04153407034266409,cel
0.04474654621138996,cel
0.045896552244208494,cel
0.04969722791988417,cel
0.070148482746139,cel
0.024990950772200773,cel
0.032592302123552123,cel
0.03114254041988417,cel
0.051373220318532815,cel
0.01890911558880309,cel
0.018905345077220078,cel
0.024336767012548263,cel
0.03563887548262548,cel
0.04940312801640927,cel
0.04115701918436294,cel
0.018185177364864864,cel
0.04998001628861004,cel
0.1030933277027027,cel
0.035269365347490346,cel
0.06945282335907337,cel
0.05344888694498069,cel
0.05353937922297297,cel
0.04296497948841699,cel
0.04203743363899614,cel
0.03355189732142857,cel
0.037000030164092666,cel
0.041294642857142856,cel
0.04398490287162162,cel
0.020798141891891893,cel
0.018865754705598457,cel
0.026551942567567568,cel
0.05118469473938224,cel
0.030441225265444016,cel
0.03196074143339769,cel
0.027392766650579152,cel
0.05271929295366795,cel
0.018558458011583012,cel
0.01223342483108108,cel
0.013472037886100387,cel
0.05178420608108108,cel
0.017540419884169885,cel
0.060967287041505794,cel
0.04826066300675676,cel
0.05236675012065637,cel
0.028955643701737453,cel
0.044938842302123555,cel
0.04684860641891892,cel
0.03225107082528957,cel
0.05083215190637066,cel
0.05067001990830116,cel
0.04975001508204633,cel
0.062371802606177605,cel
0.05568857082528957,cel
0.06283180501930502,cel
0.021925524855212354,cel
0.025469805743243243,cel
0.03331058458011583,cel
0.043892525337837836,cel
0.04848312319015444,cel
0.04407916566119691,cel
0.029979337596525095,cel
0.0378898708976834,cel
0.03969783120173745,cel
0.018647065033783782,cel
0.014271386341698842,cel
0.01469745415057915,cel
0.02969466397200772,cel
0.018449113175675675,cel
0.02224224782818533,cel
0.05535488055019305,cel
0.05212920789092664,cel
0.06036023467664093,cel
0.053471510014478765,cel
0.039317009531853284,cel
0.03387804657335907,cel
0.04372473757239382,cel
0.04695418074324324,cel
0.05218576556467181,cel
0.030925736003861004,cel
0.047597052968146716,cel
0.020030842784749033,cel
0.0570949716457529,cel
0.05880489864864865,cel
0.05693095439189189,cel
0.048217302123552123,cel
0.03582363055019305,cel
0.025616855694980695,cel
0.06659666083494209,cel
0.030247043918918918,cel
0.028983922538610037,cel
0.04623966879826255,cel
0.041767842060810814,cel
0.04688631153474904,cel
0.02101306105212355,cel
0.026599073962355214,cel
0.023646763392857144,cel
0.02335266348938224,cel
0.03318238718629344,cel
0.02756243967181467,cel
0.028672855333011584,cel
0.024314143943050193,cel
0.036296829753861004,cel
0.01887706624034749,cel
0.02449889901061776,cel
0.025818578064671815,cel
0.022046181225868725,cel
0.024070945945945946,cel
0.023418647442084942,cel
0.03895126990830116,cel
0.03332001085907336,cel
0.034509607263513514,cel
0.03523354548745174,cel
0.02044559905888031,cel
0.025198328909266408,cel
0.016273527992277992,cel
0.024152011944980695,cel
0.024994721283783782,cel
0.03067122647200772,cel
0.025411362813706564,cel
0.04181685871138996,cel
0.040942100024131275,cel
0.03518075832528957,cel
0.011358666143822393,cel
0.022655118846525095,cel
0.03287509049227799,cel
0.029509908904440156,cel
0.027462521114864864,cel
0.044667365468146716,cel
0.02540005127895753,cel
0.025154968026061778,cel
0.022349707408301157,cel
0.024608243846525095,cel
0.020226909387065638,cel
0.02668391047297297,cel
