spec_centroid,spec_bandwidth,label
1273.9670379372365,1974.1812160350662,cel
1369.4967712110958,1985.40233760363,cel
1515.5589712364474,2010.045759313062,cel
1764.4440397751284,2402.842739947017,cel
1949.3819786131564,2529.0545886182317,cel
2217.4992777829375,2771.0407767204815,cel
2249.036303277722,3587.650615898219,cel
2009.4412939011663,3645.3709425560787,cel
2024.5107769345727,3343.785393183741,cel
1864.9200623816037,2652.069333387421,cel
1370.587662493402,2240.535109914787,cel
1846.6070904654512,2617.533576945011,cel
1722.6282236453987,1789.7921457861291,cel
1688.626694663149,1854.8738176226539,cel
1552.4962222816214,1941.3380986881396,cel
1744.4707151810587,2320.533461977609,cel
1797.5154258114394,2371.2406000069636,cel
1530.217050730913,2105.5957225665984,cel
1637.4383642854903,2375.274136016228,cel
1524.297603621801,2286.511578860966,cel
1659.5128963102868,2325.140782079692,cel
2029.5990514303683,2686.671134309846,cel
1480.8715996443705,2218.693952603631,cel
1637.1707717685495,2413.18772534741,cel
2041.1254399036009,2608.565691205702,cel
2216.071174113853,2681.3014153258573,cel
1016.8969709494392,1819.9562331812085,cel
2513.834322589287,4263.846027963077,cel
2022.435967296696,3640.760030213642,cel
2077.0242441159407,3764.508375028475,cel
1777.5056442016835,2572.4292676960936,cel
1845.9285772167273,2579.1921764099275,cel
1721.818972583315,2408.929209716548,cel
2273.095536953679,3517.4477065813917,cel
2386.88078521361,3111.660765409286,cel
1805.8258741031043,3360.34637523154,cel
1865.7401971948968,2926.6264124861377,cel
1982.802005279117,2757.3767498807083,cel
2586.99539881834,3064.258343539242,cel
1105.4381649394068,1881.677061512129,cel
1061.8277086047756,1803.9759840255626,cel
1309.825828538119,2068.4238306657758,cel
1540.2309347036107,2415.9343600122966,cel
1768.0989962120366,2169.854363301624,cel
1564.224797340264,1979.3125448903975,cel
968.0535170936756,1674.6542853078024,cel
1964.0386704363057,2486.098402023957,cel
3503.1058223939867,3495.0698795285725,cel
1667.0449028231858,2594.978923080863,cel
2465.3555580860784,3050.58765435244,cel
1827.6774972798307,2428.2123278500912,cel
2097.4592409967267,2827.827008058904,cel
1849.630843089507,2687.2710308081105,cel
1774.0552513646383,2544.7745167420107,cel
1530.8370565446369,2105.931343033508,cel
1631.866362840093,2182.687049018772,cel
